weight,size
0.00,S
0.00,S
0.00,S
0.00,S
0.00,S
0.00,S
0.00,S
14.84,M
15.02,M
17.57,M
16.03,M
19.99,M
18.02,M
13.64,M
19.74,M
11.40,M
23.63,L
11.73,M
10.18,M
22.83,L
13.18,M
11.03,M
16.84,M
11.17,M
20.71,L
21.70,L
22.79,L
10.52,M
13.23,M
15.30,M
20.75,L
24.31,L
19.36,M
15.50,M
7.09,S
7.27,S
7.75,S
7.94,S
8.40,S
8.53,S
8.90,S
8.98,S
9.14,S
9.21,S
9.69,S
10.06,S
10.10,S
10.15,S
10.52,S
10.96,S
11.39,S
11.63,S
12.55,S
12.69,S
12.78,S
12.96,S
13.08,S
13.19,S
13.43,S
14.38,S
14.46,S
15.24,S
16.30,M
16.46,M
17.64,M
17.76,M
18.05,M
18.31,M
18.52,M
18.92,M
18.93,M
19.05,M
19.19,M
19.19,M
19.31,M
19.59,M
19.72,M
19.88,M
19.97,M
20.24,M
20.49,M
20.94,M
21.12,M
21.18,M
21.42,M
21.55,M
21.61,M
21.82,M
21.82,M
22.25,M
22.47,M
22.61,M
23.31,M
23.76,M
24.54,M
25.01,M
25.04,M
25.25,M
25.58,M
25.63,M
