weights;height;width;depth;dimension(lliter)
8,35;55;40;22;48,40
8,44;58;38;22;48,49
8,51;58;39;23;52,03
8,62;57;39;22;48,91
8,62;55;40;22;48,40
9,20;58;40;20;46,40
9,31;55;37;23;46,81
9,45;56;40;23;51,52
9,47;58;37;21;45,07
9,66;56;40;21;47,04
9,84;56;39;20;43,68
9,91;58;37;20;42,92
9,95;56;38;21;44,69
10,05;58;39;23;52,03
10,08;56;37;21;43,51
11,77;56;40;22;49,28
11,78;58;39;23;52,03
11,82;57;40;20;45,60
12,01;57;37;21;44,29
12,28;56;39;21;45,86
12,36;56;37;23;47,66
12,60;55;40;22;48,40
12,81;55;39;22;47,19
12,85;57;37;21;44,29
13,17;57;40;20;45,60
13,23;56;37;23;47,66
14,25;61;42;24;61,49
14,25;59;42;25;61,95
14,32;58;44;24;61,25
14,69;60;42;24;60,48
14,94;61;43;25;65,58
15,16;60;44;24;63,36
15,32;59;43;27;68,50
15,50;59;43;24;60,89
15,54;58;42;27;65,77
15,78;58;44;25;63,80
15,90;61;42;26;66,61
16,01;59;44;27;70,09
16,27;58;44;24;61,25
16,71;61;41;27;67,53
17,43;60;44;27;71,28
17,60;60;43;25;64,50
17,62;61;44;25;67,10
17,68;61;41;25;62,53
18,07;61;41;25;62,53
18,13;60;43;26;67,08
18,26;61;42;26;66,61
18,30;60;42;24;60,48
18,64;61;41;24;60,02
18,76;60;44;25;66,00
18,77;58;42;24;58,46
18,77;59;42;24;59,47
18,78;60;43;24;61,92
19,00;61;41;27;67,53
19,56;59;44;26;67,50
19,75;60;42;27;68,04
19,83;61;41;27;67,53
19,99;60;42;27;68,04
20,13;68;46;37;115,74
20,30;70;47;37;121,73
20,35;67;47;37;116,51
20,43;69;48;37;122,54
20,53;70;45;37;116,55
20,85;70;48;35;117,60
21,08;67;45;36;108,54
21,21;68;47;37;118,25
21,34;68;47;36;115,06
21,58;68;48;35;114,24
21,68;68;47;34;108,66
21,86;68;46;34;106,35
21,89;67;45;34;102,51
21,93;69;45;35;108,68
21,95;69;48;35;115,92
21,98;70;47;34;111,86
22,29;67;45;36;108,54
22,72;68;46;36;112,61
22,74;68;45;34;104,04
22,88;67;45;34;102,51
22,95;69;46;34;107,92
22,98;69;47;37;119,99
23,10;70;45;36;113,40
23,10;69;46;37;117,44
23,16;70;45;36;113,40
23,16;68;46;37;115,74
23,93;69;48;36;119,23
24,02;79;54;36;153,58
24,34;79;56;34;150,42
24,87;79;55;37;160,77
24,97;79;57;35;157,61
25,14;79;56;36;159,26
25,16;80;57;37;168,72
25,26;80;56;37;165,76
25,38;81;57;34;156,98
25,44;82;55;37;166,87
25,47;82;54;34;150,55
25,54;81;54;34;148,72
25,81;81;55;37;164,84
25,84;79;56;36;159,26
25,91;80;56;35;156,80
25,97;81;56;37;167,83
